Unnamed: 0,year,Name of municipality,Number of inhabitants,Men,Women,Unmarried,Married,Separated,fine particles,ash particles,NO2,Households total,Households without children,Percentage of family house,Percentage of multiple dwelling units,Owner-occupied housing,Rental housing total,Average electricity consumption total,Average natural gas consumption total,Average per capita income, Low-income households,Passenger cars total
9999,2014,Meerssen,7605,3705,3905,39.0,46.0,8.0,20.23,0.95,17.22,3505,34.0,77.0,23.0,58.0,41.0,3300.0,1450.0,24.1,8.9,3705
10013,2014,Mook en Middelaar,6620,3270,3350,41.0,46.0,7.0,21.2,0.83,17.76,2885,36.0,87.0,13.0,73.0,26.0,3500.0,1550.0,27.0,7.1,3670
10018,2014,Nederweert,8360,4160,4200,40.0,48.0,6.0,23.55,0.94,20.92,3560,36.0,83.0,17.0,62.0,36.0,3600.0,1400.0,22.0,6.2,4295
10035,2014,Nuth,6540,3195,3345,40.0,45.0,8.0,20.56,1.0,17.21,3050,36.0,72.0,28.0,59.0,41.0,3300.0,1400.0,22.0,9.7,3625
10048,2014,Roermond,9495,4635,4865,47.0,34.0,12.0,21.35,1.0,21.39,5455,30.0,35.0,65.0,43.0,56.0,2700.0,1150.0,27.4,10.4,4810
10083,2014,Schinnen,6335,3155,3175,38.0,50.0,7.0,20.62,0.95,17.17,2790,39.0,85.0,15.0,74.0,26.0,3650.0,1600.0,24.3,6.4,3745
10094,2014,Simpelveld,5535,2740,2795,36.0,48.0,8.0,20.31,0.86,14.06,2590,37.0,75.0,25.0,57.0,42.0,3150.0,1500.0,22.8,7.9,3325
10103,2014,Stein,10940,5405,5530,35.0,50.0,8.0,20.88,1.01,21.25,5030,38.0,79.0,21.0,66.0,33.0,3300.0,1400.0,22.2,7.1,5855
10116,2014,Vaals,2625,1335,1290,35.0,54.0,5.0,19.36,0.77,10.94,1165,41.0,89.0,11.0,66.0,33.0,3450.0,1750.0,22.8,8.7,1500
10126,2014,Venlo,4270,2130,2140,54.0,27.0,11.0,22.51,1.03,22.46,2555,26.0,26.0,74.0,37.0,61.0,2500.0,1200.0,23.9,15.6,1690
10254,2014,Venray,28215,14035,14185,45.0,41.0,8.0,23.86,0.8,18.31,12325,32.0,75.0,25.0,55.0,45.0,3250.0,1250.0,21.9,10.1,13220
10258,2014,Voerendaal,3110,1510,1600,36.0,47.0,7.0,19.82,0.81,12.2,1360,35.0,84.0,16.0,54.0,42.0,3200.0,1450.0,21.9,7.5,1530
10278,2014,Weert,6825,3460,3365,44.0,46.0,7.0,20.89,0.83,14.81,2755,31.0,91.0,9.0,79.0,21.0,3550.0,1350.0,22.6,8.9,3240
10323,2014,Valkenburg aan de Geul,7655,3750,3905,40.0,41.0,10.0,19.94,0.89,14.33,3810,31.0,52.0,48.0,48.0,49.0,2850.0,1300.0,23.1,13.2,3750
10355,2014,Lelystad,13575,6750,6825,46.0,39.0,10.0,18.21,0.62,13.77,6005,28.0,79.0,21.0,58.0,42.0,3050.0,1250.0,18.2,17.7,5430
10389,2014,Horst aan de Maas,555,280,270,46.0,45.0,5.0,21.8,0.74,16.07,215,34.0,99.0,1.0,83.0,17.0,4050.0,1550.0,21.7,4.1,300
10441,2014,Oude IJsselstreek,13310,6630,6675,42.0,47.0,5.0,21.22,0.82,16.31,5515,33.0,87.0,13.0,64.0,34.0,3300.0,1300.0,20.1,7.5,6410
10473,2014,Teylingen,15550,7665,7885,45.0,42.0,7.0,20.17,0.86,20.89,6730,31.0,70.0,30.0,60.0,40.0,3250.0,1200.0,25.8,5.6,7550
10484,2014,Utrechtse Heuvelrug,9865,4670,5200,43.0,42.0,7.0,20.92,0.83,16.48,4325,32.0,73.0,27.0,55.0,38.0,3300.0,1650.0,30.0,6.7,4900
10518,2014,Oost Gelre,12905,6500,6405,45.0,44.0,5.0,20.65,0.75,15.57,5345,37.0,84.0,16.0,69.0,30.0,3400.0,1350.0,21.8,5.3,6385
10558,2014,Koggenland,5560,2795,2765,47.0,43.0,5.0,18.43,0.63,14.04,2235,33.0,84.0,16.0,76.0,23.0,3450.0,1350.0,22.1,6.8,2740
10579,2014,Lansingerland,3270,1570,1705,41.0,46.0,6.0,21.19,1.03,26.27,1385,33.0,80.0,20.0,66.0,33.0,3200.0,1300.0,23.7,6.8,1595
10644,2014,Leudal,6465,3190,3270,41.0,45.0,6.0,22.42,0.89,17.36,2805,36.0,78.0,22.0,72.0,25.0,3450.0,1600.0,23.7,6.3,3485
10681,2014,Maasgouw,7100,3555,3545,40.0,46.0,7.0,21.36,1.01,21.84,3160,36.0,81.0,19.0,68.0,31.0,3400.0,1450.0,22.6,7.7,3860
10699,2014,Eemsmond,5575,2760,2815,42.0,43.0,7.0,15.95,0.39,10.38,2595,32.0,76.0,24.0,50.0,50.0,2800.0,1500.0,18.3,12.6,2435
10733,2014,Gemert-Bakel,15955,7980,7975,45.0,44.0,6.0,21.94,0.81,18.71,6615,34.0,85.0,15.0,62.0,37.0,3500.0,1300.0,21.2,7.3,7920
10757,2014,Halderberge,6365,3160,3205,38.0,50.0,5.0,19.91,0.78,18.43,2615,37.0,88.0,12.0,73.0,26.0,3500.0,1500.0,22.9,4.1,3485
10779,2014,Heeze-Leende,9635,4860,4775,40.0,49.0,6.0,21.14,0.83,17.03,4055,37.0,91.0,9.0,73.0,26.0,3650.0,1600.0,26.0,5.2,5155
10791,2014,Laarbeek,10045,5060,4980,43.0,45.0,6.0,22.25,0.96,21.88,4215,34.0,83.0,17.0,61.0,39.0,3450.0,1300.0,21.1,6.9,5095
10806,2014,De Marne,3235,1660,1575,42.0,44.0,8.0,15.86,0.39,11.09,1490,33.0,95.0,5.0,68.0,31.0,2800.0,1600.0,20.1,11.0,1705
10842,2014,Reusel-De Mierden,8425,4290,4130,43.0,47.0,4.0,22.38,0.86,17.02,3420,35.0,88.0,12.0,76.0,23.0,3800.0,1450.0,21.5,5.2,4430
10853,2014,Roerdalen,2370,1205,1165,40.0,45.0,9.0,21.21,0.88,16.64,1050,37.0,92.0,8.0,71.0,29.0,3500.0,1550.0,21.9,9.3,1295
10862,2014,Roosendaal,5865,2950,2910,45.0,36.0,11.0,20.67,1.0,23.94,3425,29.0,42.0,58.0,55.0,44.0,2600.0,1150.0,24.8,12.1,2880
10920,2014,Schouwen-Duiveland,11015,5330,5680,39.0,45.0,8.0,18.23,0.6,16.54,5090,35.0,82.0,18.0,56.0,44.0,2900.0,1200.0,22.8,9.2,5190
10981,2014,Aa en Hunze,3610,1735,1875,39.0,47.0,6.0,16.79,0.45,11.52,1515,36.0,91.0,9.0,71.0,25.0,3500.0,1650.0,24.9,5.1,1950
